director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,genres
James Cameron,CCH Pounder,Joel David Moore,Wes Studi,avatar,Action|Adventure|Fantasy|Sci-Fi
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,pirates of the caribbean: at world's end,Action|Adventure|Fantasy
Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,spectre,Action|Adventure|Thriller
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,the dark knight rises,Action|Thriller
Doug Walker,Doug Walker,Rob Walker,unknown,star wars: episode vii - the force awakens            ,Documentary
Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,john carter,Action|Adventure|Sci-Fi
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,spider-man 3,Action|Adventure|Romance
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,tangled,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,avengers: age of ultron,Action|Adventure|Sci-Fi
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,harry potter and the half-blood prince,Adventure|Family|Fantasy|Mystery
Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,batman v superman: dawn of justice,Action|Adventure|Sci-Fi
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,superman returns,Action|Adventure|Sci-Fi
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,quantum of solace,Action|Adventure
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,pirates of the caribbean: dead man's chest,Action|Adventure|Fantasy
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,the lone ranger,Action|Adventure|Western
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,man of steel,Action|Adventure|Fantasy|Sci-Fi
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,the chronicles of narnia: prince caspian,Action|Adventure|Family|Fantasy
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,the avengers,Action|Adventure|Sci-Fi
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,pirates of the caribbean: on stranger tides,Action|Adventure|Fantasy
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,men in black 3,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: the battle of the five armies,Adventure|Fantasy
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,the amazing spider-man,Action|Adventure|Fantasy
Ridley Scott,Mark Addy,William Hurt,Scott Grimes,robin hood,Action|Adventure|Drama|History
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: the desolation of smaug,Adventure|Fantasy
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,the golden compass,Adventure|Family|Fantasy
Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,king kong,Action|Adventure|Drama|Romance
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,titanic,Drama|Romance
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,captain america: civil war,Action|Adventure|Sci-Fi
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,battleship,Action|Adventure|Sci-Fi|Thriller
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,jurassic world,Action|Adventure|Sci-Fi|Thriller
Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,skyfall,Action|Adventure|Thriller
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,spider-man 2,Action|Adventure|Fantasy|Romance
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,iron man 3,Action|Adventure|Sci-Fi
Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,alice in wonderland,Adventure|Family|Fantasy
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,x-men: the last stand,Action|Adventure|Fantasy|Sci-Fi|Thriller
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,monsters university,Adventure|Animation|Comedy|Family|Fantasy
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,transformers: revenge of the fallen,Action|Adventure|Sci-Fi
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,transformers: age of extinction,Action|Adventure|Sci-Fi
Sam Raimi,Tim Holmes,Mila Kunis,James Franco,oz the great and powerful,Adventure|Family|Fantasy
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,the amazing spider-man 2,Action|Adventure|Fantasy|Sci-Fi
Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,tron: legacy,Action|Adventure|Sci-Fi
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,cars 2,Adventure|Animation|Comedy|Family|Sport
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,green lantern,Action|Adventure|Sci-Fi
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,toy story 3,Adventure|Animation|Comedy|Family|Fantasy
McG,Christian Bale,Bryce Dallas Howard,Common,terminator salvation,Action|Adventure|Sci-Fi
James Wan,Jason Statham,Paul Walker,Vin Diesel,furious 7,Action|Crime|Thriller
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,world war z,Action|Adventure|Horror|Sci-Fi|Thriller
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,x-men: days of future past,Action|Adventure|Fantasy|Sci-Fi|Thriller
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,star trek into darkness,Action|Adventure|Sci-Fi
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,jack the giant slayer,Adventure|Fantasy
Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,the great gatsby,Drama|Romance
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,prince of persia: the sands of time,Action|Adventure|Fantasy|Romance
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,pacific rim,Action|Adventure|Sci-Fi
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,transformers: dark of the moon,Action|Adventure|Sci-Fi
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,indiana jones and the kingdom of the crystal skull,Action|Adventure|Fantasy
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,the good dinosaur,Adventure|Animation|Comedy|Family|Fantasy
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,brave,Adventure|Animation|Comedy|Family|Fantasy
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,star trek beyond,Action|Adventure|Sci-Fi|Thriller
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,wall·e,Adventure|Animation|Family|Sci-Fi
